ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
spit1240,Spiti,Eurasia,32.526,77.833,spit1240,spt
lada1244,Ladakhi,Eurasia,34.14649,77.56261,lada1244,lbj
khoi1251,Khoibu,Eurasia,24.2041,94.1345,khoi1251,nkb
aona1235,Ao,Eurasia,26.3241,94.3824,aona1235,njo
bori1243,Adi,Eurasia,27.62812,94.3538,bori1243,adi
bodo1269,Bodo,Eurasia,26.1,92.0,bodo1269,brx
meit1246,Meiteilon,Eurasia,,,meit1246,
than1255,Thangal,Eurasia,25.3472,93.8396,than1255,nki
tang1336,Tangkhul,Eurasia,25.0489,94.3567,tang1336,nmf
byan1241,Tinkar lo,Eurasia,29.92002,80.63653,byan1241,bee
loth1237,Lotha,Eurasia,26.01396,94.04355,loth1237,njh
rong1266,Rongmei,Eurasia,25.098,93.7869,rong1266,nbu
anga1288,Angami,Eurasia,25.6841,93.8668,anga1288,njm
jadd1243,Jad,Eurasia,30.241,79.153,jadd1243,jda
stod1241,Bhoti,Eurasia,32.497,77.116,stod1241,sbu
thad1238,Thadou,Eurasia,24.096,93.722,thad1238,tcz
maon1238,Mao,Eurasia,25.3836,94.0035,maon1238,nbi
hooo1248,Ho,Eurasia,23.9596,87.1188,hooo1248,hoc
khar1287,Kharia,Eurasia,22.3571,84.3922,khar1287,khr
khas1269,Khasi,Eurasia,24.977,91.9998,khas1269,kha
pnar1238,Pnar,Eurasia,24.8237,92.2628,pnar1238,pbv
sant1410,Santali,Eurasia,25.0317,87.8185,sant1410,sat
mund1320,Mundari,Eurasia,23.03,85.85,mund1320,unr
nucl1305,Kannada,Eurasia,13.5878,76.1198,nucl1305,kan
toda1252,Toda,Eurasia,11.4184,77.0168,toda1252,tcx
nort2702,Gondi,Eurasia,18.1632,81.3842,nort2702,gno
kota1263,Kota,Eurasia,11.4978,76.9387,kota1263,kfe
koda1255,Kodagu,Eurasia,12.2443,75.9161,koda1255,kfa
tami1289,Tamil,Eurasia,10.520219,78.825989,tami1289,tam
mala1464,Malayalam,Eurasia,9.59208,76.7651,mala1464,mal
telu1262,Telugu,Eurasia,16.4529,78.7024,telu1262,tel
kuru1301,Kurukh,Eurasia,24.46442,86.46568,kuru1301,kru
bada1257,Badaga,Eurasia,11.3094,76.5974,bada1257,bfq
kull1236,Kulvi,Eurasia,31.8339,77.3772,kull1236,kfx
gadd1242,Gaddi,Eurasia,32.36,76.5713,gadd1242,gbk
kuma1273,Kumaoni,Eurasia,29.5622,80.0171,kuma1273,kfy
garh1243,Garhwali,Eurasia,30.5061,78.7201,garh1243,gbm
dogr1250,Dogri,Eurasia,32.5534,75.7111,dogr1250,dgo
goan1235,Konkani,Eurasia,15.2732,74.2098,goan1235,gom
nepa1254,Nepali,Eurasia,28.0,85.0,nepa1254,npi
kudm1238,Kudmali,Eurasia,25.92,87.33,kudm1238,kyw
beng1280,Bengali,Eurasia,24.0,90.0,beng1280,ben
assa1263,Assamese,Eurasia,26.0876,91.2932,assa1263,asm
marw1260,Marwari,Eurasia,27.002,75.0656,marw1260,rwr
panj1256,Punjabi,Eurasia,30.0368,75.6702,panj1256,pan
adiv1239,Oriya,Eurasia,18.1046,82.8487,adiv1239,ort
kash1277,Kashmiri,Eurasia,34.166825,74.330455,kash1277,kas
mara1378,Marathi,Eurasia,17.9344,76.6665,mara1378,mar
