,Expressions,Kulvi,Dogri,Garhwali,Kumaoni,Gaddi,Konkani,Nepali,Kudmali,Bengali,Assamese,Marwari,Punjabi,Oriya,Kashmiri,Marathi,Gujarati,Sindhi,Pahari,Nagpuri,Wagdi,Bajjika,Sanskrit,Panchpargania,Sylheti,Urdu,Halbi,Khortha,Rajbonshi
LP11,Eleventh,ɡjɑrʋɑ̃,ɡjɑrmɑ,iɡjɑrʋu,iɡjɑrʋɑ,jɑrmɑ,ɪkrɑvɛ̃,eɡɑrõ,-,ɛkɑd̪ɔš,ɛɡɑrɒ nɒmbor,ɪɡjɑrvo,ɡjɑrʋɑ̃,ekɑd̪əsə,kəhjəm,əkrɑʋɑ,əɡjɑrmʊ,yɑro,jɑrmɑ,eɡɑrʋɑ,ɡjɑrʋo,eɡərmɑ,ekɑdəʃməh/ekɑdəʃmɑ/ekɑdəʃməm,ɡɑroʋɑ̃,æxɑd̪ɔʃ,ɡijɑrʋɑ̃,iɡɑrʋɑ̃,ɡjɑrʋɑ,ekɑdos
LP12,Twelvth,bɑrʋɑ̃,bɑrmɑ,bɑrʋu,bɑrʋɑ,bɑrmɑ,bɑrɑvɛ̃,bɑrõ,-,d̪ɑd̪ɔš,bɑ:rɒ nɒmbor,bɑrvo,bɑrʋɑ̃,d̪ʋɑd̪əsə,bəhjəm,bɑrɑʋɑ,bɑ:rmʊ,bɑro,bɑrmɑ,bɑrʋɑ,bɑrʋo,bərʋɑ̃,dʋɑdəʃməh/dʋɑdəʃmɑ/dʋɑdəʃməm,bɑroʋɑ̃,d̪ɑdɔʃ,bɑrʋɑ̃,bɑrʋɑ̃,bɑrʋɑ,dɑdos
LP13,Thirteenth,teruʋɑ̃,termɑ,terʋu,terʋɑ,termɑ,t̪ɛrɑvɛ̃,terõ,-,t̪ærot̪ɔmo,t̪ɛrɒ nɒmbor,tervo,t̪ehrəʋɑ̃,t̪rəjod̪əsə,t̪ruʋəhjəm,t̪erɑʋɑ,t̪e:rmʊ,ʈero,termɑ,terʋɑ,terʋo,terʋɑ̃,trəjodəʃməh/trəjodəʃmɑ/trəjodəʃməm,teroʋɑ̃,t̪rojod̪ɔʃ,terʋɑ̃,terʋɑ̃,terʋɑ,trjodos
LP14,Fourteenth,čɔduʋɑ̃,čɔdmɑ,čɔdʋu,čɔdʋɑ,čodmɑ,t͡səvd̪ɑvɛ̃,tʃɔdõ,-,čod̪d̪ot̪ɔmo,soɪd̪ʰɒ nɒmbor,čəʊdəvo,čɔd̪ʋɑ̃,čət̪urd̪əsə,tʃjəd̪əhjəm,čəʊd̪ɑʋɑ,cəʊd̪mʊ,čəd̪ʋo,čodmɑ,čɔdʋɑ,čɔudʋo,čəudəhʋɑ̃,čəturdəʃməh/čəturdəʃmɑ/čəturdəʃməm,cəudoʋɑ̃,sot̪urd̪ɔʃ,tʃodʰʋɑ̃,čəʋdəʋɑ̃,čɔdʋɑ,čotʰurdos
LP15,Fifteenth,pəndruʋɑ̃,pəndrəmɑ,pəndərʋu,pəndərʋɑ,pəndrəmɑ,pə̃d̪rɑvɛ̃,pəndrõ,-,ponerot̪ɔmo,pʊnd̪ʰɒrɒ nɒmbor,pəndərvo,pənd̪ərʋɑ̃,pənčəd̪əsə,pənd̪əhjəm,pə̃nd̪rɑʋɑ,pənd̪ərmʊ,pənd̪rʋo,pəndrəmɑ,pənrəhʋɑ,pəndərʋo,pəndrəhʋɑ̃,pə̃nčdəʃməh/pə̃nčdəʃmɑ/pə̃nčdəʃməm,pəndroʋɑ̃,fɔncod̪ɔʃ,pəndrəʰʋɑ̃,pəndərʋɑ̃,pəndərʋɑ,-
LP16,Sixteenth,ʃoluʋɑ̃,šolmɑ,ʃolʋu,ʃolʋɑ,solmɑ,sɔɭɑvɛ̃,ʃorəõ,-,šolot̪ɔmo,hʊllɒ nɒmbor,soləvo,soɭʋɑ̃,səst̪əd̪əsə,šrehjəm,ʃolɑʋɑ,ʃolmʊ,soro,solmɑ,solʋɑ,soləʋo,soləhʋɑ̃,ʂoɖdəʃməh/ʂoɖdəʃmɑ/ʂoɖdəʃməm,soloʋɑ̃,ʃɔʃʈod̪ɔʃ,solʋɑ̃,solʋɑ̃,solʋɑ,-
LP17,Seventeenth,sətɑruʋɑ̃,sətɑrmɑ,sətɑrʋu,sətrəhʋɑ,sətɑrma,st̪rɑvɛ̃,sətrəõ,-,šɔterot̪ɔmo,hʊtɒrɒ nɒmbor,sətərvo,sət̪ɑrʋɑ̃,səpt̪əd̪əsə,sɑd̪əhjəm,šət̪rɑʋɑ,sət̪t̪ərmʊ,sət̪ro,sətɑrmɑ,sətrəʋɑ,sətərʋo,sətrehʋɑ̃,səptdəʃməh/səptdəʃmɑ/səptdəʃməm,sətroʋɑ̃,ʃɔpt̪od̪ɔʃ,sɑtɑrʋɑ̃,sətərʋɑ̃,sətrəhʋɑ,-
LP18,Eighteenth,ʈʰɑruʋɑ̃,ʈʰɑrmɑ,əʈʰərʋu,əʈʰərəhʋɑ,ʈʰɑrmɑ,əʈrɑvɛ̃,əʈʰɑrʋõ,-,ɑ:ʈʰerot̪ɔmo,ʊʈʰɒrɒ nɒmbor,əʈʰɑrvo,əʈʰɑrʋɑ̃,əsʈd̪əsə,ərd̪əhjəm,əʈʰrɑʋɑ,əɖʰɑ:rmʊ,əʈʈʰɑro,ʈʰɑrmɑ,əʈʰɑrʋɑ,əʈʰɑrʋo,əʈʰərʋɑ̃,əsʈɑdəʃməh/əsʈɑdəʃmɑ/əsʈɑdəʃməm,ɑʈʰɑroʋɑ̃,ɔʃʈɑd̪ɔʃ,ɑʈʰɑrʋɑ̃,əʈʰɑrʋɑ̃,ɑʈʰɑrʋɑ,-
LP19,Nineteenth,unnɑnuʋɑ̃,unnimɑ,unnisu,unnisʋɑ,unnimɑ,ekuɳɪsɑvɛ̃,unnisʋõ,-,uništ̪ɔmo,ʊnoɪs nɒmbor,ʊɡnɪsvo,unnɪsʋɑ̃,unənʋɪŋɡsə,kunʋuhjəm,ekonɑʋɪ,oɡnɪšmʊ,uɲɪjo,unmɑ,unnisʋɑ,unnisʋo,unnisʋɑ̃,nəvdəʃməh/ekonʋinʃətitəməh/nəʋdəʃəsmɑ/ekonʋinʃətitəmɑ/nəʋdəʃməm/ekonʋinʃətitəməm,unosʋɑ̃,unobiʃ,unisʋɑ̃,onisʋɑ̃,unnisʋɑ,-
LP20,Twentyth,biʋɑ̃,bimɑ,bisʋu,bisʋɑ,bimɑ,vɪsəvɛ̃,bisʋõ,-,-,bɪs nɒmbor,bɪ:svo,ʋɪʋɑ̃,ʋɪŋɡsə,ʋuhjəm,ʋɪsɑʋɑ,ʋɪšmʊ,bɪo,bimɑ,bisʋɑ,bisʋo,bisʋɑ̃,ʋĩnʃətitəməh/ʋĩnʃətitəmɑ/ʋĩnʃətitəməm,bisʋɑ̃,biʃ,bisʋɑ̃,bisʋɑ̃,bisʋɑ,-
