Name,Glottocode,Latitude,Longitude,Family,
Dumi,dumi1241,27.46,86.76,Sino-Tibetan,
Koyee,koii1238,27.19,86.85,Sino-Tibetan,
Kulung,kulu1253,27.16,87.57,Sino-Tibetan,
Nachering,nach1240,27.42,86.7,Sino-Tibetan,
Puma,puma1239,27.08,86.84,Sino-Tibetan,
Sampang,samp1249,27.3,87,Sino-Tibetan,
Thulung,thul1246,27.54,87.61,Sino-Tibetan,
Wambule,wamb1257,27.15,86.48,Sino-Tibetan,
Yakkha,yakk1236,27.37,87.93,Sino-Tibetan,
Sunwar,sunw1242,27.52,86.25,Sino-Tibetan,
Jerung,jeru1240,27.17,86.25,Sino-Tibetan,
Khaling,khal1275,27.39,87.51,Sino-Tibetan,
Yamphu,yamp1242,27.63,87.04,Sino-Tibetan,
Phangduwali,phan1256,27.16,87.35,Sino-Tibetan,
Mugali,muga1241,,,Sino-Tibetan,
Mewahang,mewa1252,27.51,87.11,Sino-Tibetan,
Lohorung,nort2727,27.51,87.22,Sino-Tibetan,
Chhulung,chhu1238,26.91,87.21,Sino-Tibetan,
Dungmali,dung1252,26.98,87.33,Sino-Tibetan,
Chintang,chhi1245,26.96,87.19,Sino-Tibetan,
Athpariya,athp1241,26.88,87.33,Sino-Tibetan,
,,,,,
