Name,Glottocode,Latitude,Longitude,Family,
,,,,,
Spiti,spit1240,32.53,77.83,Sino-Tibetan,
Ladakhi,lada1244,33.47,80.6,Sino-Tibetan,
Khoibu,khoi1251,24.2,94.13,Sino-Tibetan,
Ao,aona1235,26.32,94.38,Sino-Tibetan,
Adi,bori1243,27.63,94.35,Sino-Tibetan,
Bodo,bodo1269,26.1,92,Sino-Tibetan,
Meiteilon,meit1246,,,Sino-Tibetan,
Thangal,than1255,25.35,93.84,Sino-Tibetan,
Tangkhul,tang1336,25.05,94.36,Sino-Tibetan,i
Tinkar lo,byan1241,29.9002,80.63,Sino-Tibetan,
Lotha,loth1237,26.01,94.04,Sino-Tibetan,
Rongmei,rong1266,25.1,93.79,Sino-Tibetan,
Angami,anga1288,25.68,93.87,Sino-Tibetan,
Jad,jadd1243,30.24,79.15,Sino-Tibetan,
Bhoti,stod1241,32.5,77.12,Sino-Tibetan,
Thadou,thad1238,24.1,93.72,Sino-Tibetan,
Mao,maon1238,25.38,94,Sino-Tibetan,
Ho,hooo1248,23.96,87.12,Austro-Asiatic,
Kharia,khar1287,22.36,84.39,Austro-Asiatic,
Khasi,khas1269,24.98,92,Austro-Asiatic,
Pnar,pnar1238,24.82,92.26,Austro-Asiatic,
Santali,sant1410,25.03,87.82,Austro-Asiatic,
Mundari,mund1320,23.03,85.85,Austro-Asiatic,
Kannada,nucl1305,13.59,76.12,Dravidian,
Toda,toda1252,11.42,77.02,Dravidian,
Gondi,nort2702,18.16,81.38,Dravidian,
Kota,kota1263,11.5,76.94,Dravidian,
Kodagu,koda1255,12.24,75.92,Dravidian,
Tamil,tami1289,10.52,78.83,Dravidian,
Malayalam,mala1464,9.59,76.77,Dravidian,
Telugu,telu1262,16.45,78.7,Dravidian,
Kurukh,kuru1301,24.46,86.47,Dravidian,
Badaga,bada1257,11.31,76.6,Dravidian,
Kulvi,kull1236,31.83,77.38,Indo-Aryan,
Gaddi,gadd1242,32.36,76.57,Indo-Aryan,
Kumaoni,kuma1273,29.56,80.02,Indo-Aryan,
Garhwali,garh1243,30.51,78.72,Indo-Aryan,
Dogri,dogr1250,32.55,75.71,Indo-Aryan,
Konkani,goan1235,15.27,74.21,Indo-Aryan,
Nepali,nepa1254,28,85,Indo-Aryan,
Kudmali,kudm1238,25.92,87.33,Indo-Aryan,
Bengali,beng1280,24,90,Indo-Aryan,
Assamese,assa1263,26.09,91.29,Indo-Aryan,
Marwari,marw1260,27,75.07,Indo-Aryan,
Punjabi,panj1256,30.04,75.67,Indo-Aryan,
Oriya,adiv1239,18.1,82.85,Indo-Aryan,
Kashmiri,kash1277,34.17,74.33,Indo-Aryan,
Marathi,mara1378,17.93,76.67,Indo-Aryan,
Gujarati,guja1252,22.69,71.1,Indo-Aryan,
Sindhi,sind1272,26,69,Indo-Aryan,
Pahari,paha1251,33.64,73.81,Indo-Aryan,
Nagpuri,sada1242,23.66,84.81,Indo-Aryan,
Wagdi,wagd1238,23.69,73.9,Indo-Aryan,
Bajjika,west2380,,,Indo-Aryan,
Sanskrit,sans1269,20,77,Indo-Aryan,
Panchparganiya,panc1246,23.45,85.8,Indo-Aryan,
Sylheti,sylh1242,24.84,92.25,Indo-Aryan,
Urdu,urdu1245,25,67,Indo-Aryan,
Halbi,halb1244,20.31,81.37,Indo-Aryan,
Khortha,maga1260,25.09,85.33,Indo-Aryan,
Rajbongshi,rajb1243,26.52,88.04,Indo-Aryan,
TaiKhamti,kham1290,27.67,97.04,Tai-Kadai,
Chakesang Chokri,chok1243,25.56,94.29,Sino-Tibetan,
Chakesang Kheza,khez1235,25.71,94.31,Sino-Tibetan,
Khiamniungan,khia1236,26.2,95.02,Sino-Tibetan,
Konyak,kony1248,26.68,95.06,Sino-Tibetan,
Phom,phom1236,26.47,94.75,Sino-Tibetan,
Pochuri,poch1243,25.45,94.11,Sino-Tibetan,
Rengma,sout2732,26.12,94.69,Sino-Tibetan,
Sangtam,sang1321,25.86,94.63,Sino-Tibetan,
Sumi,sumi1235,26,94.42,Sino-Tibetan,
Yimkhiung,yimc1240,25.77,94.81,Sino-Tibetan,
Zeme,zeme1240,25.35,93.65,Sino-Tibetan,
Agam Nyishi,nyis1236,27.28,93.68,Sino-Tibetan,
Apatani,apat1240,27.19,93.73,Sino-Tibetan,
Galo,galo1242,27.98,94.69,Sino-Tibetan,
Hawa Nocte,noct1238,27.15,95.39,Sino-Tibetan,
Idu Mishmi,idum1241,29.45,95.65,Sino-Tibetan,
Kaman Mishmi,miju1243,28.47,97.04,Sino-Tibetan,
Koro aka,koro1316,27.21,92.63,Sino-Tibetan,
Padam Adi,pada1257,28.25,95.37,Sino-Tibetan,
Taraon Mishmi,diga1241,28.5,96.88,Sino-Tibetan,
Tikhak Tangsa,tikh1243,27.38,96.02,Sino-Tibetan,
Tshangla,tsha1245,27.37,91.77,Sino-Tibetan,
Upper Wancho,wanc1238,26.26,94.89,Sino-Tibetan,
Bantawa,bant1281,27.12,87.05,Sino-Tibetan,
Bayung,bahi1252,27.33,86.39,Sino-Tibetan,
Camling,caml1239,27.34,86.76,Sino-Tibetan,
